scientific_name,season,forest_types,substrate,description
Marasmius prasiosmus,серпень — жовтень.,"листяні ліси, на опалому листі дуба, бука; часто великими групами.",,"• Шапка: 1–4 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта; жовтувата, вохряно-бура, коричнювата, до краю світліша; поверхня гладенька, суха; край рівний, тонкий. • Пластинки: брудно-жовтуваті; прирослі, густі. • Ніжка: 2–6 см × 0,15–0,4 см; циліндрична, рудувата, коричнева; гладенька, щільна; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з дуже сильним запахом часнику; смак грибний. • Споровий порошок: білий."
Marasmius rotula,червень — жовтень.,"на гнилих гілках, опалому листі, гнилій деревині; часто великими групами.",,"• Шапка: 0,5–1,5 см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, часто з невеликим заглибленням у центрі; біла, білувата, в центрі темніша (сірувато-коричнева); поверхня гладенька, радіально-рубчаста; край рівний, тонкий, іноді хвилястий. • Пластинки: білі, рідкі, вузькі; не доходять до ніжки, утворюють навколо неї характерне кільце (коларіум). • Ніжка: 2–6 см × 0,1–0,2 см; циліндрична, темно-коричнева, чорнувата; блискуча, гладенька, щільна, волокниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Marasmius epiphyllus,червень — жовтень.,"на опалому листі дерев (дуб, бук, граб), на черешках листків; часто великими групами.",,"• Шапка: 0,5–1 см у діаметрі; дуже тонка, майже прозора, плівчаста; спочатку опукла, згодом плоско-розпростерта; біла, брудно-біла, іноді з рожевим або кремовим відтінком; поверхня гладенька, злегка рубчаста; край рівний, тонкий. • Пластинки: білуваті, рідкі, вузькі; прирослі або майже вільні. • Ніжка: 1–2 см × 0,05–0,1 см; капіляровидна, жовтувата, коричнева; гладенька, блискуча, щільна; без кільця та піхви. • М’якоть: дуже тонка, білувата; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Entoloma clypeatum,травень — червень.,"сади, полезахисні смуги, насадження абрикоса, зрідка під вишнею; мікоризний гриб.",,"• Шапка: 5–12 см у діаметрі; щільно-товстом’ясиста; спочатку дзвоникоподібна або опукла, згодом опукла або плоско-розпростерта, часто асиметрична, з нерівним, хвилястим або лопатевим краєм; сіра, коричнювато-сіра, брудно-біла; поверхня гладенька, суха, іноді злегка луската, часто тріщинувата. • Пластинки: білі, брудно-білі, згодом брудно-рожеві; широкі, густі; прирослі або майже вільні. • Ніжка: 5–10 см × 1–3 см; циліндрична, щільна, біла, волокниста, з підземним виростом; без кільця та піхви. • М’якоть: білий, дуже щільний; на зламі не змінюється; з приємним запахом борошна; смак приємний. • Споровий порошок: рожевий."
Entoloma rhodopolium,серпень — вересень.,"дубові та букові ліси, на ґрунті.",,"• Шапка: 4–10 (11) см у діаметрі; тонком’ясиста; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, часто з горбочком; сіра, оливкувато-сіра, жовтувато-сіра; поверхня гладенька, гола, злегка рубчаста; край рівний, тонкий, іноді хвилястий. • Пластинки: білуваті, згодом брудно-рожеві; широкі, густі; прирослі. • Ніжка: 5–10 см × 1–3 см; циліндрична, щільна, біла, згодом сірувата, волокниста; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; з запахом борошна, при підсиханні з неприємним запахом; смак м’який. • Споровий порошок: рожевий."
Entoloma nidorosum,серпень — жовтень.,"листяні ліси, на ґрунті, серед опалого листя.",,"• Шапка: 5–7 см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, іноді увігнута, зрідка з невиразним горбочком; оливкувато-сіра; поверхня гола, при підсиханні світлішає, блискуча, шовковиста; край рівний, тонкий. • Пластинки: білуваті, згодом брудно-рожеві; широкі, густі; прирослі. • Ніжка: 5–8 (9) см × 0,2–0,8 см; циліндрична, білувата; гола, вгорі борошниста, щільна, згодом з порожниною; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з дуже сильним аміачним запахом; смак м’який. • Споровий порошок: рожевий."
Entoloma sericeum,вересень — листопад.,"луки, лісові галявини, пасовища; часто великими групами.",,"• Шапка: 3–6 см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, іноді з горбочком; темно-буро-коричнева, з віком вицвітає до сіро-коричневої; поверхня гола, при зволоженні шовковисто-блискуча, до краю радіально-рубчаста; край рівний, тонкий. • Пластинки: брудно-білі, коричнюваті, згодом бурувато-рожеві; широкі, густі; прирослі. • Ніжка: 3–7 см × 0,2–0,5 см; циліндрична, часом перекручена; коричнювато-бурувата або сірувата; штрихувата, біловолокниста, з порожниною; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з сильним запахом борошна; смак м’який. • Споровий порошок: рожевий."
Entoloma jubatum,серпень — жовтень.,"листяні ліси, на болотистих місцях, серед сфагнів.",,"• Шапка: 4–6 (8) см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, часто з горбочком; буро-коричнева; поверхня бархатиста або тонкоповстиста, злегка радіально-волокниста, з часом майже гола, вицвітає до сірої; край рівний, тонкий. • Пластинки: рожевуваті, згодом червонуваті; широкі, густі; прирослі. • Ніжка: 5–8 см × 0,4–0,7 см; циліндрична, кольору шапки; волокнисто-штрихувата, щільна, з порожниною; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з сильним запахом борошна; смак м’який. • Споровий порошок: рожевий."
Entoloma aprile,квітень — травень.,"листяні ліси, на ґрунті, серед опалого листя; росте навесні.",,"• Шапка: 6 см у діаметрі; тонком’ясиста; спочатку конусовидно-дзвоникоподібна, згодом конусовидно-розпростерта, з горбочком у центрі; рудо-коричнева, згодом буро-коричнева, при підсиханні вицвітає до сірої; поверхня гола, клейкувата, згодом суха; край тонкий, рубчастий. • Пластинки: сіруваті, коричнювато-сірі, згодом сірувато- або коричнювато-червонуваті; широкі, густі; прирослі. • Ніжка: 5–7 см × 0,3–1 (1,3) см; циліндрична, з порожниною; білувато-коричнювато-сіра; волокнисто-штрихувата, часом волокнисто-шерстиста; без кільця та піхви. • М’якоть: сіруватий або буруватий, тонкий; на зламі не змінюється; зі слабким запахом борошна; смак м’який. • Споровий порошок: рожевий."
Pluteus cervinus,травень — жовтень.,"пні, стовбури, гнила деревина листяних дерев; часто групами.",,"• Шапка: 5–12 см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта, часто з невеликим горбочком; коричнева, сірувато-бура; поверхня гладенька або радіально-волокниста, суха, матова; край рівний, тонкий, іноді розтрісканий. • Пластинки: вільні, білі, згодом рожеві; широкі, густі. • Ніжка: 5–10 см × 0,5–1,5 см; циліндрична, білувата; темноволокниста, щільна; без кільця та піхви. • М’якоть: білий, м’який; на зламі не змінюється; з неприємним запахом редьки; смак м’який, злегка редьковий. • Споровий порошок: рожевий."
Pluteus salicinus,травень — жовтень.,"стовбури верби, вільхи; на гнилій деревині.",,"• Шапка: 2–8 см у діаметрі; спочатку дзвоникоподібна, згодом опукла або плоско-розпростерта; сріблясто- або синювато-сіра, синювато-зеленувата; поверхня гладенька, волокниста, суха; край рівний, тонкий. • Пластинки: вільні, білуваті, згодом червонуваті; широкі, густі. • Ніжка: 3–6 см × 0,3–0,5 см; циліндрична, біла, до основи синювато-зелена; волокниста, щільна; без кільця та піхви. • М’якоть: білуватий; на зламі зеленіє; запах і смак м’які, грибні. • Споровий порошок: рожевий."
Hygrophorus eburneus,вересень — листопад.,"листяні ліси, на ґрунті, серед опалого листя; часто групами.",,"• Шапка: 3–10 см у діаметрі; спочатку конусовидна, згодом опукло- або плоско-розпростерта, з підігнутим тонкоповстистим краєм; біла, білувата; поверхня дуже слизька, гола, блискуча; край рівний, тонкий. • Пластинки: білі, рідкі, товсті; низько спускаються на ніжку; прирослі. • Ніжка: 4–12 см × 0,8–1,5 см; циліндрична, щільна, біла; слизька, вгорі луската, з часом з порожниною; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; зі слабким грибним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus chrysodon,вересень — листопад.,"листяні (букові, дубові), рідше хвойні ліси; часто групами.",,"• Шапка: 2–8 см у діаметрі; щільно-товстом’ясиста; спочатку опукла, згодом плоско-розпростерта, з горбочком; біла, до краю лимонно-жовта; поверхня волосисто-шерстиста, пластівчаста; край рівний, тонкий. • Пластинки: білі, згодом жовтуваті, рідкі, товсті; прирослі або злегка спускаються на ніжку. • Ніжка: 5–8 см × 1–1,5 см; циліндрична, щільна, біла; вгорі жовтозерниста, з кільцевидним потовщенням; без справжнього кільця. • М’якоть: білий, щільний; на зламі не змінюється; зі специфічним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus hypothejus,вересень — листопад.,"соснові ліси, на ґрунті, серед опалої хвої; часто групами.",,"• Шапка: 3–6 (12) см у діаметрі; напівсферична, згодом опукло- або плоско-розпростерта; бурувато-оливкова, оливково-коричнева або рудувата; поверхня дуже слизька, гола, з віком світлішає до жовтої; край рівний, тонкий, іноді хвилястий. • Пластинки: жовтуваті, згодом оранжево-жовті, вузькі; спускаються на ніжку; прирослі. • Ніжка: 5–10 см × 0,6–1 см; циліндрична, лимонно-жовта, вгорі та біля основи біла; слизька, з кільцевидними залишками покривала; без справжнього кільця. • М’якоть: білий, під шкіркою жовтуватий; на зламі не змінюється; з приємним грибним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus olivaceo-albus,вересень — листопад.,"соснові ліси, на ґрунті, серед опалої хвої; часто групами.",,"• Шапка: 2,5–6 (10) см у діаметрі; тупоконусовидна, згодом опукло-розпростерта, часто з горбочком; бурувато-оливкувата або оливково-коричнювата, в центрі темніша, до краю світліша; поверхня слизька, гола; край рівний, тонкий. • Пластинки: білі, рідкі; спускаються на ніжку; прирослі. • Ніжка: 8–12 (14) см × 0,6–1,2 см; циліндрична, білувата, коричнювато-сіра; слизька, вгорі темноплівчасто-луската, з кільцевидним потовщенням, утвореним слизьким покривалом. • М’якоть: білий, під шкіркою жовтуватий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Hygrophorus russula,вересень — листопад.,"листяні ліси, на ґрунті; часто групами.",,"• Шапка: 3–20 см у діаметрі; щільно-товстом’ясиста, опукла, подушковидна, часто асиметрична; спочатку біла, згодом рожева, пурпурова, з розпливчастими плямами; поверхня слизька, луската; край рівний, іноді хвилястий. • Пластинки: дуже густі, білі, згодом червонуваті; прирослі або злегка спускаються на ніжку. • Ніжка: 3–8 см × 1–3 см; циліндрична, щільна, вгорі біла, нижче кольору шапки; волокниста; без кільця та піхви. • М’якоть: білий, щільний; на зламі в шапці майже не змінюється, в ніжці червоніє; з приємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus pratensis,вересень — листопад.,"луки, пасовища, лісові галявини, на ґрунті; часто групами.",,"• Шапка: 3–10 см у діаметрі; щільно-товстом’ясиста, плоско-, опукло- або увігнуто-розпростерта, з горбочком; рудувато-оранжева, іноді рудувато-коричнева, з віком вицвітає; поверхня гола, гладенька, суха; край рівний, тонкий, іноді хвилястий. • Пластинки: дуже рідкі, товсті, кольору шапки, широкі; спускаються на ніжку; прирослі. • Ніжка: 4–7 (10) см × 0,6–1,8 см; циліндрична, донизу злегка потоншується; кольору шапки; гола, гладенька, щільна; без кільця та піхви. • М’якоть: світло-рудуватий, щільний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus nemoreus,вересень — листопад.,"листяні ліси, на ґрунті; часто групами.",,"• Шапка: 3–8 см у діаметрі; щільно-товстом’ясиста, опукла, згодом плоско-розпростерта; рудувато-оранжева, суха, шорстка, іноді тонковолокниста, майже повстиста; край рівний, тонкий. • Пластинки: кольору шапки, товсті, низько спускаються на ніжку; прирослі. • Ніжка: 4–8 см × 1–1,8 см; циліндрична, щільна, кольору шапки; волокнисто-штрихувата; без кільця та піхви. • М’якоть: щільний, білий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus camarophyllus,вересень — жовтень.,"хвойні та мішані ліси, на ґрунті; часто групами.",,"• Шапка: 5–18 см у діаметрі; щільно-товстом’ясиста, конусовидно-, опукло- або увігнуто-розпростерта; коричнево- або буро-сіра, в центрі темніша; поверхня спочатку клейкувата, згодом суха, грубоволокниста; край рівний, тонкий. • Пластинки: білі, з часом сіруваті, рідкі, товсті, широкі; низько спускаються на ніжку. • Ніжка: 6–12 см × 1–2,5 см; циліндрична, донизу поступово звужується; кольору шапки; волокнисто-штрихувата, щільна, з підземним виростом; без кільця та піхви. • М’якоть: білий, з віком злегка буріє; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Hygrophorus virgineus,серпень — жовтень.,"луки, пасовища, лісові галявини, на ґрунті; часто групами.",,"• Шапка: 2–5 (6) см у діаметрі; м’ясиста, опукло-розпростерта, з підігнутим, іноді лопатевидним краєм; біла, гола, гладенька, іноді з червонуватими розпливчастими плямами; край рівний, тонкий. • Пластинки: білі, дуже рідкі, товсті; низько спускаються на ніжку; прирослі. • Ніжка: 2–5 (6) см × 0,5–1,5 см; циліндрична, донизу звужена; біла, гола, гладенька; щільна; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Hygrophorus fornicatus,серпень — жовтень.,"луки, ліси, галявини, на ґрунті.",,"• Шапка: 3–6 см у діаметрі; здебільшого асиметрична, конусовидна, дзвоникоподібна, згодом розпростерта, з горбочком; біла, брудно-біла, іноді з оливковим або коричнюватим відтінком у центрі; поверхня гола, гладенька; край рівний, тонкий. • Пластинки: білі, широкоприрослі; рідкі, товсті. • Ніжка: 3–6 (8) см × 0,4–1,2 см; циліндрична, донизу звужена; кольору шапки; гладенька, щільна; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Hygrophorus foetens,серпень — жовтень.,"трав’янисті місця, луки, галявини, на ґрунті.",,"• Шапка: 1,5–2,5 см у діаметрі; напівкуляста, згодом розпростерта; бура або темно-коричнева, при достиганні тріщинувата; суха, гола або злегка повстиста; край рівний. • Пластинки: брудно-сірі, спускаються на ніжку; рідкі. • Ніжка: 2,5–4 см × 0,3–0,4 см; циліндрична, кольору шапки; щільна; без кільця та піхви. • М’якоть: буруватий, тонкий; на зламі не змінюється; з дуже неприємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus capreolarius,серпень — жовтень.,"хвойні та мішані ліси, на ґрунті.",,"• Шапка: 4–8 см у діаметрі; напівкуляста, згодом опукло-розпростерта, з тупим горбочком у центрі, зрідка увігнута, з опущеним краєм; кольору вина, коричнево-пурпурова; поверхня волокниста, злегка повстиста; край рівний, тонкий. • Пластинки: кольору шапки, з прожилками, біля ніжки вилочковидно розгалужені; спускаються на ніжку. • Ніжка: 3–6 см × 0,8–2,5 см; донизу злегка потовщена; кольору шапки або світліша; сітчаста, щільна; без кільця та піхви. • М’якоть: пурпуровий, коричнювато-червоний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: рожевувато-білий."
Hygrophorus marzuolus,квітень — травень (навесні або на початку літа).,"хвойні ліси, переважно гірські, на ґрунті; часто групами.",,"• Шапка: 4–10 см у діаметрі; щільно-товстом’ясиста, опукло- або подушковидно-розпростерта, іноді асиметрична; білувата, згодом сіра, до бурувато- або чорнувато-сірої; поверхня суха, гола; край опущений, нерівний, часто хвилястий. • Пластинки: білі, білуваті, сірі, рідкі, вузькі; злегка спускаються на ніжку. • Ніжка: 3–6 см × 1,5–4 см; циліндрична, біла, білувата, сіра; вгорі борошниста, щільна, часто з порожниною, нижче волокниста; без кільця та піхви. • М’якоть: щільний, білий; на зламі згодом сіріє; з приємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus penarius,вересень — листопад.,"листяні ліси, звичайно під буком (Fagus); на ґрунті.",,"• Шапка: (5) 6–10 см у діаметрі; опукло-розпростерта, іноді з горбочком; щільном’ясиста; білувата, кольору шкіри, жовтувата, солом’яно-жовта, до краю світліша; поверхня спочатку клейкувата, згодом суха; край рівний, тонкий. • Пластинки: кремові, жовтуваті, дуже низько спускаються на ніжку; рідкі. • Ніжка: 3–6 см × 1,5–2 см; до середини потовщена, з кореневидним виростом; кольору шапки; тонкозерниста, щільна; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Hygrophorus lucorum,вересень — листопад.,"модринові насадження, на ґрунті; часто групами.",,"• Шапка: 2–5 см у діаметрі; б.-м. опукло-розпростерта з опущеним краєм; лимонно-жовта, по краю з залишками покривала; поверхня слизька, гола; край рівний, тонкий. • Пластинки: білуваті, згодом жовтіють, злегка спускаються на ніжку; рідкі. • Ніжка: 4–6 см × 0,7–1 см; циліндрична, білувата або світло-лимонно-жовта, з залишками кортини; біловолокниста, вгорі борошнисто-біла, щільна; без справжнього кільця. • М’якоть: білий, під шкіркою жовтий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Coprinus comatus,травень — листопад.,"луки, пасовища, городи, узбіччя, газони; часто групами.",,"• Шапка: 5–15 см у діаметрі; циліндрична, видовжена, біла, з буруватими лусками; поверхня волокнисто-луската; край підігнутий, з часом розпливається. • Пластинки: вільні, білі → рожеві → чорні, розпливаються (автоліз); дуже густі. • Ніжка: 10–20 см × 1–2 см; циліндрична, біла, з рухомим кільцем; щільна, порожниста; з кільцем. • М’якоть: білий, м’який; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: чорний."
Coprinus atramentarius,травень — листопад.,"сади, городи, узбіччя, пні; часто групами.",,"• Шапка: 3–8 см у діаметрі; дзвоникоподібна, згодом розпростерта; сірувато-коричнева, з лусками; поверхня волокнисто-луската; край підігнутий, з часом розпливається. • Пластинки: білі → чорні, розпливаються (автоліз); вільні, густі. • Ніжка: 5–10 см × 0,5–1,5 см; циліндрична, біла, без кільця; щільна, порожниста. • М’якоть: білий, м’який; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: чорний."
Coprinus micaceus,травень — листопад.,"пні, стовбури, ґрунт; часто великими групами.",,"• Шапка: 2–5 см у діаметрі; дзвоникоподібна, згодом розпростерта; жовтувато-коричнева, з блискучими зернятками; поверхня зернисто-луската; край підігнутий, з часом розпливається. • Пластинки: білі → чорні, розпливаються (автоліз); вільні, густі. • Ніжка: 3–8 см × 0,2–0,4 см; циліндрична, біла; щільна, порожниста; без кільця. • М’якоть: білий, тонкий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: чорний."
Coprinus radians,травень — жовтень.,"пні, стовбури; часто групами.",,"• Шапка: 1–3 см у діаметрі; дзвоникоподібна, згодом розпростерта; жовтувато-оранжева, з волокнистими лусками; поверхня волокнисто-луската; край підігнутий, з часом розпливається. • Пластинки: чорні, розпливаються (автоліз); вільні, густі. • Ніжка: 2–5 см × 0,2–0,3 см; циліндрична, білувата; щільна, порожниста; без кільця. • М’якоть: тонкий, білуватий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: чорний."
Coprinus lagopus,травень — жовтень.,"гній, рослинні рештки; часто групами.",,"• Шапка: 1–3 см у діаметрі; дзвоникоподібна, згодом розпростерта; білувата, з волосками; поверхня волосиста; край підігнутий, з часом розпливається. • Пластинки: чорні, розпливаються (автоліз); вільні, густі. • Ніжка: 3–8 см × 0,2–0,3 см; циліндрична, біла, волосиста; щільна, порожниста; без кільця. • М’якоть: тонкий, білуватий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: чорний."
Hypholoma fasciculare,травень — листопад.,"пні, стовбури, гнила деревина; великими групами.",,"• Шапка: 2–6 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта, часто з горбочком; сірчано-жовта, в центрі оранжево-коричнева; поверхня гладенька, гола; край рівний, тонкий. • Пластинки: сірчано-жовті → оливково-чорні; густі, прирослі. • Ніжка: 3–10 см × 0,3–0,8 см; циліндрична, сірчано-жовта, волокниста; щільна, порожниста; без кільця та піхви. • М’якоть: жовтуватий; на зламі не змінюється; з неприємним запахом; смак дуже гіркий. • Споровий порошок: оливково-чорний."
Hypholoma capnoides,серпень — жовтень.,"пні, стовбури хвойних; великими групами.",,"• Шапка: 2–6 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; жовтувато-коричнева, до краю світліша; поверхня гладенька, гола; край рівний, тонкий. • Пластинки: сірі → димчасто-сірі; густі, прирослі. • Ніжка: 3–8 см × 0,3–0,6 см; циліндрична, жовтувата, волокниста; щільна, порожниста; без кільця та піхви. • М’якоть: білуватий; на зламі не змінюється; з приємним запахом; смак м’який, без гіркоти. • Споровий порошок: темно-коричневий."
Stropharia aeruginosa,серпень — жовтень.,"ліси, пасовища, гній; часто групами.",,"• Шапка: 3–8 см у діаметрі; спочатку напівсферична, згодом плоско-розпростерта; синьо-зелена, з білими пластівцями; поверхня слизька, гола; край рівний, тонкий, з пластівцями. • Пластинки: сірі → темно-коричневі; густі, прирослі. • Ніжка: 4–8 см × 0,5–1 см; циліндрична, синьо-зелена, з кільцем; щільна, порожниста. • М’якоть: синювато-зелений; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: темно-пурпурово-коричневий."
Pholiota squarrosa,серпень — жовтень.,"пні, стовбури; великими групами.",,"• Шапка: 5–12 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; жовтувато-іржава, з відстовбурченими лусками; поверхня луската; край підігнутий, з лусками. • Пластинки: жовтуваті → іржаво-коричневі; густі, прирослі. • Ніжка: 5–10 см × 1–2 см; циліндрична, з кільцем, луската; щільна, порожниста. • М’якоть: жовтуватий; на зламі не змінюється; з запахом редьки; смак м’який. • Споровий порошок: іржаво-коричневий."
Pholiota aurivella,серпень — жовтень.,стовбури листяних дерев; часто групами.,,"• Шапка: 5–15 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; золотисто-жовта, з іржавими лусками; поверхня луската, слизька; край підігнутий, з лусками. • Пластинки: жовтуваті → іржаво-коричневі; густі, прирослі. • Ніжка: 5–10 см × 1–2 см; циліндрична, з кільцем, луската; щільна, порожниста. • М’якоть: жовтуватий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: іржаво-коричневий."
Cortinarius violaceus,серпень — жовтень.,листяні та хвойні ліси; часто групами.,,"• Шапка: 5–15 см у діаметрі; спочатку напівсферична, згодом плоско-розпростерта; темно-фіолетова, оксамитова; поверхня тонкоповстиста; край підігнутий, з кортиною. • Пластинки: фіолетові → іржаво-бурі; густі, прирослі. • Ніжка: 6–12 см × 1–2 см; циліндрична, фіолетова, з кортиною; щільна, порожниста; без кільця, з кортиною. • М’якоть: фіолетовий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: іржаво-коричневий."
Cortinarius armillatus,серпень — жовтень.,"хвойні та мішані ліси, під березою; часто групами.",,"• Шапка: 4–10 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; іржаво-коричнева; поверхня волокниста; край підігнутий, з кортиною. • Пластинки: брудно-іржаві; густі, прирослі. • Ніжка: 6–12 см × 1–2 см; циліндрична, світло-коричнева, з цегляно-червоними кільцями (браслетами); щільна, порожниста. • М’якоть: буруватий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: іржаво-коричневий."
Cortinarius triumphans,серпень — жовтень.,"листяні та мішані ліси, під березою; часто групами.",,"• Шапка: 5–12 см у діаметрі; спочатку напівсферична, згодом плоско-розпростерта; жовтувато-оранжева; поверхня слизька, гола; край підігнутий, з кортиною. • Пластинки: блідо-сірі → іржаво-бурі; густі, прирослі. • Ніжка: 6–12 см × 1–2 см; циліндрична, білувата, з кортиною; щільна, порожниста. • М’якоть: білий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: іржаво-коричневий."
Inocybe rimosa,липень — жовтень.,листяні та хвойні ліси; часто групами.,,"• Шапка: 1–3 см у діаметрі; спочатку конусовидна, згодом плоско-розпростерта, з горбочком; біла, шовковиста; поверхня гладенька, радіально-волокниста; край рівний, тонкий. • Пластинки: білі → брудно-сірі; густі, прирослі. • Ніжка: 3–6 см × 0,2–0,4 см; циліндрична, біла; щільна, порожниста; без кільця та піхви. • М’якоть: білий; на зламі не змінюється; із запахом землі; смак м’який. • Споровий порошок: брудно-коричневий."
Inocybe fastigiata,липень — жовтень.,листяні та хвойні ліси; часто групами.,,"• Шапка: 2–6 см у діаметрі; спочатку конусовидна, згодом плоско-розпростерта, з горбочком; жовтувато-коричнева; поверхня радіально-волокниста; край рівний, розтрісканий. • Пластинки: білуваті → брудно-коричневі; густі, прирослі. • Ніжка: 4–8 см × 0,3–0,6 см; циліндрична, білувата; щільна, порожниста; без кільця та піхви. • М’якоть: білий; на зламі не змінюється; з неприємним запахом; смак м’який. • Споровий порошок: брудно-коричневий."
Macrolepiota rhacodes,липень — жовтень.,"ліси, парки; часто групами.",,"• Шапка: 5–15 см у діаметрі; спочатку яйцевидна, згодом конусовидно- або плоско-розпростерта; сірувато-коричнева, з великими лусками; поверхня луската; край рівний, з пластівцями. • Пластинки: білі → рожеві; густі, вільні. • Ніжка: 8–15 см × 1–2 см; циліндрична, білувата, з кільцем; щільна, порожниста. • М’якоть: білий; на зламі червоніє; з приємним запахом; смак м’який. • Споровий порошок: білий."
Lepiota clypeolaria,серпень — жовтень.,листяні та хвойні ліси; часто групами.,,"• Шапка: 3–8 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; білувата, з жовтувато-коричневими лусочками; поверхня луската; край рівний, з пластівцями. • Пластинки: білі; густі, вільні. • Ніжка: 4–8 см × 0,5–1 см; циліндрична, білувата, з кільцем; щільна, порожниста. • М’якоть: білий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Lepiota cristata,серпень — жовтень.,"ліси, сади; часто групами.",,"• Шапка: 2–5 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; білувата, з червонувато-коричневими лусочками; поверхня луската; край рівний, з пластівцями. • Пластинки: білі; густі, вільні. • Ніжка: 3–6 см × 0,2–0,4 см; циліндрична, білувата, з кільцем; щільна, порожниста. • М’якоть: білий; на зламі не змінюється; з неприємним запахом; смак м’який. • Споровий порошок: білий."
Lepiota felina,серпень — жовтень.,хвойні ліси; часто групами.,,"• Шапка: 2–4 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; білувата, з чорнуватими лусочками; поверхня луската; край рівний, з пластівцями. • Пластинки: білі; густі, вільні. • Ніжка: 3–5 см × 0,2–0,4 см; циліндрична, білувата, з кільцем; щільна, порожниста. • М’якоть: білий; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Lepiota lilacea,серпень — жовтень.,"ліси, трав’янисті місця; часто групами.",,"• Шапка: 2–4 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; сірувато- або червонувато-коричнева, лілувата; поверхня луската; край рівний, з пластівцями. • Пластинки: білі; густі, вільні. • Ніжка: 2–4 см × 0,2–0,4 см; циліндрична, білувата, з кільцем; щільна, порожниста. • М’якоть: рожевуватий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
